Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0161576866905115","-0,0192589327035862","0,000714665078015524",0,0,0,"0,525103778834961","0,00112044217696078","-1,15172167773134E-06","2,13341258677709E-07","0,00190280158774292","7,96632481159502E-07","0,000964425953794514",0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,HAHAH-1/bez_ruchky-1/pokrov-1;HAHAH-1/bez_ruchky-1/back_filler-2;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/M3-2;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/motor_mount-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/motor_mount-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/M3-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/JGA25-370-1;HAHAH-1/bez_ruchky-1/pi_cam_mount-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/M3-3;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/M3-4;HAHAH-1/bez_ruchky-1/Body-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/JGA25-370-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/M3-3;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/M3-4;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/M3-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/M3-2;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/motor_mount-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/motor_mount-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/JGA25-370-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/M3-2;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/M3-4;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/M3-3;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/M3-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/JGA25-370-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/M3-2;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/M3-3;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/M3-4;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/M3-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/M3-6;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/M3-5;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/M3-6;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/M3-5;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/M3-6;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/M3-5;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/M3-5;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/M3-6,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Bl_wheel_Link,"-6,1195464144681E-07","-9,21550339011423E-07","-0,000487976344824892",0,0,0,"0,0968940262146127","9,4270285811499E-05","1,8887150627217E-09","-1,10162551975514E-08","9,42674466180449E-05","2,17095669013528E-10","0,000164520319147756",0,0,0,0,0,0,package://Assem1/meshes/Bl_wheel_Link.STL,"0,231372549019608","0,231372549019608","0,231372549019608",1,0,0,0,0,0,0,package://Assem1/meshes/Bl_wheel_Link.STL,,HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/kolo_z_sklopko-1/RC Crawler Tyre 1.9inch x 108mm-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/kolo_z_sklopko-1/HExagon_kupplung_12_18mm-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-4/kolo_z_sklopko-1/RC Crawler Wheel Rim 1.9inch-1,Origin_Bl_wheel_Joint,,Bl_wheel_Joint,revolute,"0,1134","-0,10829","-0,018992","-1,5708","-0,45883",0,base_link,0,-1,0,0,0,0,0,,,,,,,,
Fl_wheel_Link,"-6,11954642293355E-07","-9,21550338917748E-07","-0,000487976344825086",0,0,0,"0,0968940262146106","9,42702858114982E-05","1,888715064348E-09","-1,10162551964617E-08","9,42674466180429E-05","2,17095668839328E-10","0,000164520319147754",0,0,0,0,0,0,package://Assem1/meshes/Fl_wheel_Link.STL,"0,231372549019608","0,231372549019608","0,231372549019608",1,0,0,0,0,0,0,package://Assem1/meshes/Fl_wheel_Link.STL,,HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/kolo_z_sklopko-1/RC Crawler Tyre 1.9inch x 108mm-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/kolo_z_sklopko-1/RC Crawler Wheel Rim 1.9inch-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-2/kolo_z_sklopko-1/HExagon_kupplung_12_18mm-1,Origin_Fl_wheel_Joint,,Fl_wheel_Joint,revolute,"-0,076597","-0,10829","-0,018992","1,5708","0,45883","-3,1416",base_link,0,-1,0,0,0,0,0,,,,,,,,
Fr_wheel_Link,"-6,11954641835388E-07","-9,21550339753885E-07","-0,000487976344824947",0,0,0,"0,096894026214606","9,42702858114937E-05","1,8887150642057E-09","-1,10162551964773E-08","9,42674466180381E-05","2,17095668611523E-10","0,000164520319147745",0,0,0,0,0,0,package://Assem1/meshes/Fr_wheel_Link.STL,"0,231372549019608","0,231372549019608","0,231372549019608",1,0,0,0,0,0,0,package://Assem1/meshes/Fr_wheel_Link.STL,,HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/kolo_z_sklopko-1/RC Crawler Tyre 1.9inch x 108mm-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/kolo_z_sklopko-1/RC Crawler Wheel Rim 1.9inch-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-1/kolo_z_sklopko-1/HExagon_kupplung_12_18mm-1,Origin_Fr_wheel_Joint,,Fr_wheel_Joint,revolute,"-0,076597","0,10711","-0,018992","-1,5708","-0,45883","3,1416",base_link,0,1,0,0,0,0,0,,,,,,,,
Br_wheel_Link,"-6,11954641183132E-07","-9,21550338928157E-07","-0,000487976344824823",0,0,0,"0,0968940262146113","9,42702858114979E-05","1,88871506202036E-09","-1,10162551984347E-08","9,42674466180435E-05","2,17095668399663E-10","0,000164520319147754",0,0,0,0,0,0,package://Assem1/meshes/Br_wheel_Link.STL,"0,231372549019608","0,231372549019608","0,231372549019608",1,0,0,0,0,0,0,package://Assem1/meshes/Br_wheel_Link.STL,,HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/kolo_z_sklopko-1/RC Crawler Tyre 1.9inch x 108mm-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/kolo_z_sklopko-1/RC Crawler Wheel Rim 1.9inch-1;HAHAH-1/bez_ruchky-1/assembly_motor_mount-3/kolo_z_sklopko-1/HExagon_kupplung_12_18mm-1,Origin_Br_wheel_Joint,,Br_wheel_Joint,revolute,"0,1134","0,10711","-0,018992","1,5708","0,45883",0,base_link,0,1,0,0,0,0,0,,,,,,,,
